Number of reserved features,Faithfulness score,Interpreter,Model
49,0.8099,SHAP,SVC
50,0.805,SHAP,SVC
51,0.9174,SHAP,SVC
52,0.9289,SHAP,SVC
53,0.9348,SHAP,SVC
54,0.9354,SHAP,SVC
55,0.9528,SHAP,SVC
56,0.9711,SHAP,SVC
57,1,SHAP,SVC
1,0.6379,LIME,SVC
2,0.6379,LIME,SVC
3,0.6379,LIME,SVC
4,0.6379,LIME,SVC
5,0.6379,LIME,SVC
6,0.6379,LIME,SVC
7,0.6379,LIME,SVC
8,0.6379,LIME,SVC
9,0.6379,LIME,SVC
10,0.6379,LIME,SVC
11,0.6379,LIME,SVC
12,0.6379,LIME,SVC
13,0.6379,LIME,SVC
14,0.6379,LIME,SVC
15,0.6379,LIME,SVC
16,0.6379,LIME,SVC
17,0.6379,LIME,SVC
18,0.6379,LIME,SVC
19,0.6379,LIME,SVC
20,0.6379,LIME,SVC
21,0.6379,LIME,SVC
22,0.6379,LIME,SVC
23,0.6379,LIME,SVC
24,0.6379,LIME,SVC
25,0.6379,LIME,SVC
26,0.6379,LIME,SVC
27,0.6379,LIME,SVC
28,0.6379,LIME,SVC
29,0.6379,LIME,SVC
30,0.6379,LIME,SVC
31,0.6379,LIME,SVC
32,0.6379,LIME,SVC
33,0.6379,LIME,SVC
34,0.6379,LIME,SVC
35,0.6379,LIME,SVC
36,0.6379,LIME,SVC
37,0.6379,LIME,SVC
38,0.6379,LIME,SVC
39,0.6379,LIME,SVC
40,0.6379,LIME,SVC
41,0.6379,LIME,SVC
42,0.6379,LIME,SVC
43,0.6379,LIME,SVC
44,0.6379,LIME,SVC
45,0.6453,LIME,SVC
46,0.7016,LIME,SVC
47,0.863,LIME,SVC
48,0.8935,LIME,SVC
49,0.8932,LIME,SVC
50,0.9264,LIME,SVC
51,0.9447,LIME,SVC
52,0.9606,LIME,SVC
53,0.9736,LIME,SVC
54,0.9748,LIME,SVC
55,0.977,LIME,SVC
56,0.9804,LIME,SVC
57,1,LIME,SVC
1,0.6379,Anchor,SVC
2,0.6379,Anchor,SVC
3,0.6379,Anchor,SVC
4,0.3621,Anchor,SVC
5,0.3621,Anchor,SVC
6,0.3621,Anchor,SVC
7,0.3621,Anchor,SVC
8,0.3621,Anchor,SVC
9,0.3621,Anchor,SVC
10,0.3621,Anchor,SVC
11,0.3621,Anchor,SVC
12,0.3621,Anchor,SVC
13,0.3621,Anchor,SVC
14,0.3621,Anchor,SVC
15,0.3621,Anchor,SVC
16,0.3621,Anchor,SVC
17,0.3621,Anchor,SVC
18,0.3621,Anchor,SVC
19,0.3621,Anchor,SVC
20,0.3621,Anchor,SVC
21,0.3621,Anchor,SVC
22,0.3621,Anchor,SVC
23,0.3621,Anchor,SVC
24,0.3621,Anchor,SVC
25,0.3621,Anchor,SVC
26,0.3621,Anchor,SVC
27,0.3621,Anchor,SVC
28,0.3621,Anchor,SVC
29,0.3621,Anchor,SVC
30,0.3621,Anchor,SVC
31,0.3621,Anchor,SVC
32,0.3621,Anchor,SVC
33,0.3621,Anchor,SVC
34,0.3621,Anchor,SVC
35,0.3621,Anchor,SVC
36,0.3621,Anchor,SVC
37,0.3621,Anchor,SVC
38,0.3621,Anchor,SVC
39,0.3621,Anchor,SVC
40,0.3621,Anchor,SVC
41,0.3621,Anchor,SVC
42,0.3621,Anchor,SVC
43,0.3621,Anchor,SVC
44,0.3621,Anchor,SVC
45,0.3621,Anchor,SVC
46,0.3621,Anchor,SVC
47,0.3621,Anchor,SVC
48,0.3621,Anchor,SVC
49,0.3621,Anchor,SVC
50,0.3621,Anchor,SVC
51,0.3621,Anchor,SVC
52,0.3621,Anchor,SVC
53,0.3621,Anchor,SVC
54,0.3621,Anchor,SVC
55,0.3621,Anchor,SVC
56,0.3621,Anchor,SVC
57,0.3621,Anchor,SVC
1,0.3621,LORE,SVC
2,0.3621,LORE,SVC
3,0.3621,LORE,SVC
4,0.3621,LORE,SVC
5,0.3621,LORE,SVC
6,0.3621,LORE,SVC
7,0.3621,LORE,SVC
8,0.3621,LORE,SVC
9,0.3621,LORE,SVC
10,0.3621,LORE,SVC
11,0.3621,LORE,SVC
12,0.3621,LORE,SVC
13,0.3621,LORE,SVC
14,0.3621,LORE,SVC
15,0.3621,LORE,SVC
16,0.3621,LORE,SVC
17,0.3621,LORE,SVC
18,0.3621,LORE,SVC
19,0.3621,LORE,SVC
20,0.3621,LORE,SVC
21,0.3621,LORE,SVC
22,0.3621,LORE,SVC
23,0.3621,LORE,SVC
24,0.3621,LORE,SVC
25,0.3621,LORE,SVC
26,0.3621,LORE,SVC
27,0.3621,LORE,SVC
28,0.3621,LORE,SVC
29,0.3621,LORE,SVC
30,0.3621,LORE,SVC
31,0.3621,LORE,SVC
32,0.3621,LORE,SVC
33,0.3621,LORE,SVC
34,0.3621,LORE,SVC
35,0.3621,LORE,SVC
36,0.3621,LORE,SVC
37,0.3621,LORE,SVC
38,0.3621,LORE,SVC
39,0.3621,LORE,SVC
40,0.3621,LORE,SVC
41,0.3621,LORE,SVC
42,0.3621,LORE,SVC
43,0.3621,LORE,SVC
44,0.3621,LORE,SVC
45,0.3621,LORE,SVC
46,0.3621,LORE,SVC
47,0.3621,LORE,SVC
48,0.3621,LORE,SVC
49,0.3621,LORE,SVC
50,0.3621,LORE,SVC
51,0.3621,LORE,SVC
52,0.3621,LORE,SVC
53,0.3621,LORE,SVC
54,0.3621,LORE,SVC
55,0.3621,LORE,SVC
56,0.3621,LORE,SVC
57,0.3621,LORE,SVC
1,0.6199,SHAP,MLP
2,0.6202,SHAP,MLP
3,0.6205,SHAP,MLP
4,0.6199,SHAP,MLP
5,0.6205,SHAP,MLP
6,0.6205,SHAP,MLP
7,0.6199,SHAP,MLP
8,0.6199,SHAP,MLP
9,0.6199,SHAP,MLP
10,0.6199,SHAP,MLP
11,0.6199,SHAP,MLP
12,0.6199,SHAP,MLP
13,0.6208,SHAP,MLP
14,0.6217,SHAP,MLP
15,0.6255,SHAP,MLP
16,0.6224,SHAP,MLP
17,0.6242,SHAP,MLP
18,0.6245,SHAP,MLP
19,0.6217,SHAP,MLP
20,0.6211,SHAP,MLP
21,0.6208,SHAP,MLP
22,0.6239,SHAP,MLP
23,0.6295,SHAP,MLP
24,0.6475,SHAP,MLP
25,0.6348,SHAP,MLP
26,0.6435,SHAP,MLP
27,0.6565,SHAP,MLP
28,0.6686,SHAP,MLP
29,0.6547,SHAP,MLP
30,0.6615,SHAP,MLP
31,0.664,SHAP,MLP
32,0.6814,SHAP,MLP
33,0.6941,SHAP,MLP
34,0.8509,SHAP,MLP
35,0.6857,SHAP,MLP
36,0.6609,SHAP,MLP
37,0.8845,SHAP,MLP
38,0.8531,SHAP,MLP
39,0.8863,SHAP,MLP
40,0.7627,SHAP,MLP
41,0.6935,SHAP,MLP
42,0.5801,SHAP,MLP
43,0.5435,SHAP,MLP
44,0.5661,SHAP,MLP
45,0.5239,SHAP,MLP
46,0.6047,SHAP,MLP
47,0.6043,SHAP,MLP
48,0.7963,SHAP,MLP
49,0.8562,SHAP,MLP
50,0.9012,SHAP,MLP
51,0.9161,SHAP,MLP
52,0.8984,SHAP,MLP
53,0.9342,SHAP,MLP
54,0.9292,SHAP,MLP
55,0.9429,SHAP,MLP
56,0.9425,SHAP,MLP
57,1,SHAP,MLP
1,0.6422,LIME,MLP
2,0.6596,LIME,MLP
3,0.686,LIME,MLP
4,0.6379,LIME,MLP
5,0.3814,LIME,MLP
6,0.4329,LIME,MLP
7,0.4248,LIME,MLP
8,0.3717,LIME,MLP
9,0.455,LIME,MLP
10,0.6298,LIME,MLP
11,0.6326,LIME,MLP
12,0.596,LIME,MLP
13,0.387,LIME,MLP
14,0.4323,LIME,MLP
15,0.6208,LIME,MLP
16,0.418,LIME,MLP
17,0.6202,LIME,MLP
18,0.6196,LIME,MLP
19,0.623,LIME,MLP
20,0.4276,LIME,MLP
21,0.6394,LIME,MLP
22,0.6655,LIME,MLP
23,0.6376,LIME,MLP
24,0.6217,LIME,MLP
25,0.6196,LIME,MLP
26,0.6227,LIME,MLP
27,0.6224,LIME,MLP
28,0.6205,LIME,MLP
29,0.6202,LIME,MLP
30,0.6211,LIME,MLP
31,0.6429,LIME,MLP
32,0.6578,LIME,MLP
33,0.6208,LIME,MLP
34,0.6199,LIME,MLP
35,0.6205,LIME,MLP
36,0.6205,LIME,MLP
37,0.6267,LIME,MLP
38,0.7071,LIME,MLP
39,0.682,LIME,MLP
40,0.6469,LIME,MLP
41,0.7429,LIME,MLP
42,0.8075,LIME,MLP
43,0.863,LIME,MLP
44,0.7891,LIME,MLP
45,0.8102,LIME,MLP
46,0.8289,LIME,MLP
47,0.9155,LIME,MLP
48,0.9332,LIME,MLP
49,0.9186,LIME,MLP
50,0.9447,LIME,MLP
51,0.9438,LIME,MLP
52,0.9245,LIME,MLP
53,0.9466,LIME,MLP
54,0.9516,LIME,MLP
55,0.9531,LIME,MLP
56,0.9587,LIME,MLP
57,1,LIME,MLP
1,0.6196,Anchor,MLP
2,0.6211,Anchor,MLP
3,0.6208,Anchor,MLP
4,0.6208,Anchor,MLP
