Number of removed features,Validity score,Interpreter,Model
17,0.3281,LORE,MLP
18,0.3281,LORE,MLP
19,0.3281,LORE,MLP
20,0.3281,LORE,MLP
21,0.3281,LORE,MLP
22,0.3281,LORE,MLP
23,0.3281,LORE,MLP
24,0.3281,LORE,MLP
25,0.3281,LORE,MLP
26,0.3281,LORE,MLP
27,0.3281,LORE,MLP
28,0.3281,LORE,MLP
29,0.3281,LORE,MLP
30,0.3281,LORE,MLP
