Number of removed features,Robustness score,Interpreter,Model
50,0.9884,Anchor,SVC
51,0.9884,Anchor,SVC
52,0.9884,Anchor,SVC
53,0.9884,Anchor,SVC
54,0.9884,Anchor,SVC
55,0.9884,Anchor,SVC
56,0.9884,Anchor,SVC
57,0.9884,Anchor,SVC
1,0.8364,LORE,SVC
2,0.971,LORE,SVC
3,0.9978,LORE,SVC
4,0.9993,LORE,SVC
5,0.9993,LORE,SVC
6,0.9993,LORE,SVC
7,0.9993,LORE,SVC
8,0.9993,LORE,SVC
9,0.9993,LORE,SVC
10,0.9993,LORE,SVC
11,0.9993,LORE,SVC
12,0.9993,LORE,SVC
13,0.9993,LORE,SVC
14,0.9993,LORE,SVC
15,0.9993,LORE,SVC
16,0.9993,LORE,SVC
17,0.9993,LORE,SVC
18,0.9993,LORE,SVC
19,0.9993,LORE,SVC
20,0.9993,LORE,SVC
21,0.9993,LORE,SVC
22,0.9993,LORE,SVC
23,0.9993,LORE,SVC
24,0.9993,LORE,SVC
25,0.9993,LORE,SVC
26,0.9993,LORE,SVC
27,0.9993,LORE,SVC
28,0.9993,LORE,SVC
29,0.9993,LORE,SVC
30,0.9993,LORE,SVC
31,0.9993,LORE,SVC
32,0.9993,LORE,SVC
33,0.9993,LORE,SVC
34,0.9993,LORE,SVC
35,0.9993,LORE,SVC
36,0.9993,LORE,SVC
37,0.9993,LORE,SVC
38,0.9993,LORE,SVC
39,0.9993,LORE,SVC
40,0.9993,LORE,SVC
41,0.9993,LORE,SVC
42,0.9993,LORE,SVC
43,0.9993,LORE,SVC
44,0.9993,LORE,SVC
45,0.9993,LORE,SVC
46,0.9993,LORE,SVC
47,0.9993,LORE,SVC
48,0.9993,LORE,SVC
49,0.9993,LORE,SVC
50,0.9993,LORE,SVC
51,0.9993,LORE,SVC
52,0.9993,LORE,SVC
53,0.9993,LORE,SVC
54,0.9993,LORE,SVC
55,0.9993,LORE,SVC
56,0.9993,LORE,SVC
57,0.9993,LORE,SVC
1,0.8711,SHAP,MLP
2,0.7893,SHAP,MLP
3,0.756,SHAP,MLP
4,0.7111,SHAP,MLP
5,0.6807,SHAP,MLP
6,0.6676,SHAP,MLP
7,0.6626,SHAP,MLP
8,0.6582,SHAP,MLP
9,0.651,SHAP,MLP
10,0.6329,SHAP,MLP
11,0.6235,SHAP,MLP
12,0.6112,SHAP,MLP
13,0.6083,SHAP,MLP
14,0.5909,SHAP,MLP
15,0.5996,SHAP,MLP
16,0.5655,SHAP,MLP
17,0.5634,SHAP,MLP
18,0.5547,SHAP,MLP
19,0.5554,SHAP,MLP
20,0.5619,SHAP,MLP
21,0.5684,SHAP,MLP
22,0.5467,SHAP,MLP
23,0.5518,SHAP,MLP
24,0.5351,SHAP,MLP
25,0.5453,SHAP,MLP
26,0.5293,SHAP,MLP
27,0.5214,SHAP,MLP
28,0.5214,SHAP,MLP
29,0.5337,SHAP,MLP
30,0.5322,SHAP,MLP
31,0.5373,SHAP,MLP
32,0.5445,SHAP,MLP
33,0.5409,SHAP,MLP
34,0.5337,SHAP,MLP
35,0.5322,SHAP,MLP
36,0.5351,SHAP,MLP
37,0.5416,SHAP,MLP
38,0.5387,SHAP,MLP
39,0.5329,SHAP,MLP
40,0.5387,SHAP,MLP
41,0.5286,SHAP,MLP
42,0.5561,SHAP,MLP
43,0.5619,SHAP,MLP
44,0.572,SHAP,MLP
45,0.5873,SHAP,MLP
46,0.5916,SHAP,MLP
47,0.5945,SHAP,MLP
48,0.5981,SHAP,MLP
49,0.5829,SHAP,MLP
50,0.6097,SHAP,MLP
51,0.6408,SHAP,MLP
52,0.6387,SHAP,MLP
53,0.6597,SHAP,MLP
54,0.7169,SHAP,MLP
55,0.7379,SHAP,MLP
56,0.8277,SHAP,MLP
57,1,SHAP,MLP
1,0.924,LIME,MLP
2,0.6119,LIME,MLP
3,0.6531,LIME,MLP
4,0.9993,LIME,MLP
5,1,LIME,MLP
6,1,LIME,MLP
7,1,LIME,MLP
8,1,LIME,MLP
9,1,LIME,MLP
10,1,LIME,MLP
11,1,LIME,MLP
12,1,LIME,MLP
13,1,LIME,MLP
14,1,LIME,MLP
15,1,LIME,MLP
16,1,LIME,MLP
17,1,LIME,MLP
18,1,LIME,MLP
19,1,LIME,MLP
20,1,LIME,MLP
21,1,LIME,MLP
22,1,LIME,MLP
23,1,LIME,MLP
24,1,LIME,MLP
25,1,LIME,MLP
26,1,LIME,MLP
27,1,LIME,MLP
28,1,LIME,MLP
29,1,LIME,MLP
30,1,LIME,MLP
31,1,LIME,MLP
32,1,LIME,MLP
33,1,LIME,MLP
34,1,LIME,MLP
35,1,LIME,MLP
36,1,LIME,MLP
37,1,LIME,MLP
38,0.9993,LIME,MLP
39,0.9978,LIME,MLP
40,0.9978,LIME,MLP
41,0.9978,LIME,MLP
42,0.9928,LIME,MLP
43,0.9862,LIME,MLP
44,0.966,LIME,MLP
45,0.9471,LIME,MLP
46,0.9051,LIME,MLP
47,0.8392,LIME,MLP
48,0.811,LIME,MLP
49,0.7524,LIME,MLP
50,0.7161,LIME,MLP
51,0.6698,LIME,MLP
52,0.6264,LIME,MLP
53,0.6184,LIME,MLP
54,0.5807,LIME,MLP
55,0.5807,LIME,MLP
56,0.5322,LIME,MLP
57,1,LIME,MLP
1,0.8747,Anchor,MLP
2,0.8631,Anchor,MLP
3,0.8356,Anchor,MLP
4,0.8356,Anchor,MLP
5,0.832,Anchor,MLP
6,0.8327,Anchor,MLP
7,0.8327,Anchor,MLP
8,0.8335,Anchor,MLP
9,0.8335,Anchor,MLP
10,0.8335,Anchor,MLP
11,0.8335,Anchor,MLP
12,0.8335,Anchor,MLP
13,0.8335,Anchor,MLP
14,0.8335,Anchor,MLP
15,0.8335,Anchor,MLP
16,0.8335,Anchor,MLP
17,0.8335,Anchor,MLP
18,0.8335,Anchor,MLP
19,0.8335,Anchor,MLP
20,0.8335,Anchor,MLP
21,0.8335,Anchor,MLP
22,0.8335,Anchor,MLP
23,0.8335,Anchor,MLP
24,0.8335,Anchor,MLP
25,0.8335,Anchor,MLP
26,0.8335,Anchor,MLP
27,0.8335,Anchor,MLP
28,0.8335,Anchor,MLP
29,0.8335,Anchor,MLP
30,0.8335,Anchor,MLP
31,0.8335,Anchor,MLP
32,0.8335,Anchor,MLP
33,0.8335,Anchor,MLP
34,0.8335,Anchor,MLP
35,0.8335,Anchor,MLP
36,0.8335,Anchor,MLP
37,0.8335,Anchor,MLP
38,0.8335,Anchor,MLP
39,0.8335,Anchor,MLP
40,0.8335,Anchor,MLP
41,0.8335,Anchor,MLP
42,0.8335,Anchor,MLP
43,0.8335,Anchor,MLP
44,0.8335,Anchor,MLP
45,0.8335,Anchor,MLP
46,0.8335,Anchor,MLP
47,0.8335,Anchor,MLP
48,0.8335,Anchor,MLP
49,0.8335,Anchor,MLP
50,0.8335,Anchor,MLP
51,0.8335,Anchor,MLP
52,0.8335,Anchor,MLP
53,0.8335,Anchor,MLP
