Number of reserved features,Faithfulness score,Interpreter,Model
19,0.7102,LIME,MLP
20,0.7224,LIME,MLP
21,0.7143,LIME,MLP
22,0.7102,LIME,MLP
23,0.7102,LIME,MLP
24,0.7184,LIME,MLP
25,0.2898,LIME,MLP
26,0.2898,LIME,MLP
27,0.2898,LIME,MLP
28,0.2898,LIME,MLP
29,0.8286,LIME,MLP
30,0.9306,LIME,MLP
31,0.8653,LIME,MLP
32,0.5878,LIME,MLP
33,0.9061,LIME,MLP
34,1,LIME,MLP
1,0.2898,Anchor,MLP
2,0.2898,Anchor,MLP
3,0.2898,Anchor,MLP
4,0.2898,Anchor,MLP
5,0.2898,Anchor,MLP
6,0.2898,Anchor,MLP
7,0.2898,Anchor,MLP
8,0.2898,Anchor,MLP
9,0.2898,Anchor,MLP
10,0.2898,Anchor,MLP
11,0.2898,Anchor,MLP
12,0.2898,Anchor,MLP
13,0.2898,Anchor,MLP
14,0.2898,Anchor,MLP
15,0.2898,Anchor,MLP
16,0.2898,Anchor,MLP
17,0.2898,Anchor,MLP
18,0.2898,Anchor,MLP
19,0.2898,Anchor,MLP
20,0.2898,Anchor,MLP
21,0.2898,Anchor,MLP
22,0.2898,Anchor,MLP
23,0.2898,Anchor,MLP
24,0.2898,Anchor,MLP
25,0.2898,Anchor,MLP
26,0.2898,Anchor,MLP
27,0.2898,Anchor,MLP
28,0.2898,Anchor,MLP
29,0.2898,Anchor,MLP
30,0.2898,Anchor,MLP
31,0.2898,Anchor,MLP
32,0.2898,Anchor,MLP
33,0.2898,Anchor,MLP
34,0.2898,Anchor,MLP
1,0.2898,LORE,MLP
2,0.2898,LORE,MLP
3,0.2898,LORE,MLP
4,0.7102,LORE,MLP
5,0.7102,LORE,MLP
6,0.7102,LORE,MLP
7,0.7102,LORE,MLP
8,0.7102,LORE,MLP
9,0.7102,LORE,MLP
10,0.7102,LORE,MLP
11,0.7102,LORE,MLP
12,0.7102,LORE,MLP
13,0.7102,LORE,MLP
14,0.7102,LORE,MLP
15,0.7102,LORE,MLP
16,0.7102,LORE,MLP
17,0.7102,LORE,MLP
18,0.7102,LORE,MLP
19,0.7102,LORE,MLP
20,0.7102,LORE,MLP
21,0.7102,LORE,MLP
22,0.7102,LORE,MLP
23,0.7102,LORE,MLP
24,0.7102,LORE,MLP
25,0.7102,LORE,MLP
26,0.7102,LORE,MLP
27,0.7102,LORE,MLP
28,0.7102,LORE,MLP
29,0.7102,LORE,MLP
30,0.7102,LORE,MLP
31,0.7102,LORE,MLP
32,0.7102,LORE,MLP
33,0.7102,LORE,MLP
34,0.7102,LORE,MLP
